Model,Correct,Test Videos,Accuracy,Macro Precision,Macro Recall,Macro F1
Scratch Transformer,24,34,0.7058823529411765,0.5983333333333334,0.6666666666666666,0.5996031746031745
Pretrained + Frozen Backbone,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
Pretrained + Full Fine-tuning,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
