Model,Seed,Best Epoch,Correct,Test Videos,Accuracy,Macro Precision,Macro Recall,Macro F1
Full Fine-tuning,42,8,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
Pretrained Frozen,42,20,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
Scratch,42,45,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
Full Fine-tuning,123,2,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
Pretrained Frozen,123,12,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
Scratch,123,37,30,34,0.8823529411764706,0.9238095238095237,0.8833333333333332,0.886060606060606
Full Fine-tuning,2026,8,32,34,0.9411764705882353,0.9666666666666666,0.9333333333333332,0.93
Pretrained Frozen,2026,4,33,34,0.9705882352941176,0.9800000000000001,0.9666666666666666,0.968888888888889
Scratch,2026,52,31,34,0.9117647058823529,0.9099999999999999,0.9083333333333332,0.9066666666666666
