Model,Accuracy mean,Accuracy std,Macro Precision mean,Macro Precision std,Macro Recall mean,Macro Recall std,Macro F1 mean,Macro F1 std
Full Fine-tuning,0.9411764705882352,0.0,0.9666666666666665,0.0,0.9333333333333332,0.0,0.93,0.0
Pretrained Frozen,0.9509803921568628,0.01698089027028313,0.971111111111111,0.00769800358919514,0.9444444444444443,0.01924500897298754,0.9429629629629631,0.022452510468485513
Scratch,0.9117647058823529,0.02941176470588236,0.9334920634920634,0.02954812107064926,0.9083333333333332,0.025000000000000022,0.9075757575757576,0.021983799026807384
